ConferenceID;ID;Reviewer;Reviewer confidence;Suitability for the event;Originality;Quality;Overall Recommendation
CDIO06;CDIO06ARM;hulk@marvel.com;3;4;4;4;Accept
CDIO06;CDIO06ARM;rubberwoman@disney.com;5;5;4;5;Accept
CDIO06;CDIO06ARM;thing@marvel.com;4;4;3;4;Accept
CDIO06;CDIO06CHB;hulk@marvel.com;3;4;4;4;Accept
CDIO06;CDIO06CHB;rubberwoman@disney.com;5;5;4;4;Accept
CDIO06;CDIO06CHB;thing@marvel.com;3;4;3;4;Accept
CDIO06;CDIO06K011;hulk@marvel.com;3;4;4;4;Accept
CDIO06;CDIO06K011;thing@marvel.com;4;5;5;5;Accept
CDIO06;CDIO06K011;wolverine@marvel.com;4;5;4;5;Accept
CDIO06;CDIO06K012;hulk@marvel.com;3;4;4;4;Accept
CDIO06;CDIO06K012;thing@marvel.com;5;4;5;4;Accept
CDIO06;CDIO06K012;wolverine@marvel.com;3;5;5;5;Accept
CDIO06;CDIO06K013;hulk@marvel.com;5;5;4;5;Accept
CDIO06;CDIO06K013;thing@marvel.com;4;4;4;4;Accept
CDIO06;CDIO06K013;wolverine@marvel.com;3;4;4;4;Accept
CDIO06;CDIO06K014;hulk@marvel.com;5;5;4;5;Accept
CDIO06;CDIO06K014;thing@marvel.com;4;3;5;4;Accept
CDIO06;CDIO06K014;wolverine@marvel.com;3;4;4;4;Accept
CDIO06;CDIO06K015;hulk@marvel.com;5;5;4;4;Accept
CDIO06;CDIO06K015;thing@marvel.com;5;3;3;3;Reject
CDIO06;CDIO06K015;wolverine@marvel.com;3;4;4;4;Accept
CDIO06;CDIO06K016;hulk@marvel.com;5;5;4;4;Accept
CDIO06;CDIO06K016;thing@marvel.com;5;4;5;5;Accept
CDIO06;CDIO06K016;wolverine@marvel.com;5;5;4;5;Accept
CDIO06;CDIO06K017;hulk@marvel.com;4;4;3;4;Accept
CDIO06;CDIO06K017;thing@marvel.com;4;5;4;5;Accept
CDIO06;CDIO06K017;wolverine@marvel.com;5;5;4;5;Accept
CDIO06;CDIO06K018;hulk@marvel.com;3;4;3;4;Accept
CDIO06;CDIO06K018;mickey@disney.com;5;5;4;4;Accept
CDIO06;CDIO06K018;thing@marvel.com;3;5;5;5;Accept
CDIO06;CDIO06K019;hulk@marvel.com;5;4;3;4;Accept
CDIO06;CDIO06K019;mickey@disney.com;5;5;4;4;Accept
CDIO06;CDIO06K019;thing@marvel.com;3;4;4;4;Accept
CDIO06;CDIO06K020;hulk@marvel.com;5;4;4;4;Accept
CDIO06;CDIO06K020;mickey@disney.com;4;4;3;4;Accept
CDIO06;CDIO06K020;thing@marvel.com;3;4;4;4;Accept
CDIO06;CDIO06K021;hulk@marvel.com;4;4;3;4;Accept
CDIO06;CDIO06K021;mickey@disney.com;3;4;3;4;Accept
CDIO06;CDIO06K021;thing@marvel.com;5;5;4;5;Accept
CDIO06;CDIO06K022;hulk@marvel.com;4;4;4;4;Accept
CDIO06;CDIO06K022;mickey@disney.com;5;4;3;4;Accept
CDIO06;CDIO06K022;thing@marvel.com;5;5;4;5;Accept
CDIO06;CDIO06K023;hulk@marvel.com;4;5;5;5;Accept
CDIO06;CDIO06K023;mickey@disney.com;5;4;4;4;Accept
CDIO06;CDIO06K023;thing@marvel.com;5;5;4;4;Accept
CDIO06;CDIO06K024;hulk@marvel.com;5;4;5;4;Accept
CDIO06;CDIO06K024;mickey@disney.com;4;4;3;4;Accept
CDIO06;CDIO06K024;thing@marvel.com;5;5;4;4;Accept
CDIO06;CDIO06K025;hulk@marvel.com;4;4;4;4;Accept
CDIO06;CDIO06K025;mickey@disney.com;4;4;4;4;Accept
CDIO06;CDIO06K025;thing@marvel.com;4;4;3;4;Accept
CDIO06;CDIO06K026;hulk@marvel.com;4;3;5;4;Accept
CDIO06;CDIO06K026;mickey@disney.com;4;5;5;5;Accept
CDIO06;CDIO06K026;thing@marvel.com;3;4;3;4;Accept
CDIO06;CDIO06K027;hulk@marvel.com;5;3;3;3;Reject
CDIO06;CDIO06K027;mickey@disney.com;5;4;5;4;Accept
CDIO06;CDIO06K027;thing@marvel.com;5;4;3;4;Accept
CDIO06;CDIO06K028;hulk@marvel.com;5;4;5;5;Accept
CDIO06;CDIO06K028;mickey@disney.com;4;4;4;4;Accept
CDIO06;CDIO06K028;thing@marvel.com;5;4;4;4;Accept
CDIO06;CDIO06K029;hulk@marvel.com;4;5;4;5;Accept
CDIO06;CDIO06K029;mickey@disney.com;4;3;5;4;Accept
CDIO06;CDIO06K029;thing@marvel.com;4;4;3;4;Accept
CDIO06;CDIO06K030;hulk@marvel.com;3;5;5;5;Accept
CDIO06;CDIO06K030;mickey@disney.com;5;3;3;2;Reject
CDIO06;CDIO06K030;thing@marvel.com;3;4;4;4;Accept
CDIO06;CDIO06K031;hulk@marvel.com;3;4;4;4;Accept
CDIO06;CDIO06K031;mickey@disney.com;5;4;5;5;Accept
CDIO06;CDIO06K031;thing@marvel.com;3;4;4;4;Accept
CDIO06;CDIO06K032;hulk@marvel.com;3;4;4;4;Accept
CDIO06;CDIO06K032;mickey@disney.com;4;5;4;5;Accept
CDIO06;CDIO06K032;super.duck@disney.com;5;5;4;5;Accept
CDIO06;CDIO06K033;hulk@marvel.com;3;4;4;4;Accept
CDIO06;CDIO06K033;mickey@disney.com;3;5;5;5;Accept
CDIO06;CDIO06K033;super.duck@disney.com;5;5;4;5;Accept
CDIO06;CDIO06K034;hulk@marvel.com;5;5;4;5;Accept
CDIO06;CDIO06K034;mickey@disney.com;3;4;4;4;Accept
CDIO06;CDIO06K034;super.duck@disney.com;5;5;4;4;Accept
CDIO06;CDIO06K035;hulk@marvel.com;5;5;4;5;Accept
CDIO06;CDIO06K035;mickey@disney.com;3;4;4;4;Accept
CDIO06;CDIO06K035;super.duck@disney.com;5;5;4;4;Accept
CDIO06;CDIO06K036;hulk@marvel.com;5;5;4;4;Accept
CDIO06;CDIO06K036;mickey@disney.com;5;5;4;5;Accept
CDIO06;CDIO06K036;super.duck@disney.com;4;4;3;4;Accept
CDIO06;CDIO06K037;hulk@marvel.com;5;5;4;4;Accept
CDIO06;CDIO06K037;mickey@disney.com;5;5;4;5;Accept
CDIO06;CDIO06K037;super.duck@disney.com;3;4;3;4;Accept
CDIO06;CDIO06K038;hulk@marvel.com;4;4;3;4;Accept
CDIO06;CDIO06K038;mickey@disney.com;5;5;4;4;Accept
CDIO06;CDIO06K038;super.duck@disney.com;5;4;3;4;Accept
CDIO06;CDIO06K039;hulk@marvel.com;3;4;3;4;Accept
CDIO06;CDIO06K039;mickey@disney.com;5;5;4;4;Accept
CDIO06;CDIO06K039;super.duck@disney.com;5;4;4;4;Accept
CDIO06;CDIO06K040;hulk@marvel.com;5;4;3;4;Accept
CDIO06;CDIO06K040;mickey@disney.com;4;4;3;4;Accept
CDIO06;CDIO06K040;super.duck@disney.com;4;4;3;4;Accept
CDIO06;CDIO06K041;hulk@marvel.com;5;4;4;4;Accept
CDIO06;CDIO06K041;mickey@disney.com;3;4;3;4;Accept
CDIO06;CDIO06K041;super.duck@disney.com;4;4;4;4;Accept
CDIO06;CDIO06K042;hulk@marvel.com;4;4;3;4;Accept
CDIO06;CDIO06K042;mickey@disney.com;5;4;3;4;Accept
CDIO06;CDIO06K042;super.duck@disney.com;4;5;5;5;Accept
CDIO06;CDIO06K043;hulk@marvel.com;4;4;4;4;Accept
CDIO06;CDIO06K043;mickey@disney.com;5;4;4;4;Accept
CDIO06;CDIO06K043;super.duck@disney.com;5;4;5;4;Accept
CDIO06;CDIO06K044;hulk@marvel.com;4;5;5;5;Accept
CDIO06;CDIO06K044;mickey@disney.com;4;4;3;4;Accept
CDIO06;CDIO06K044;super.duck@disney.com;4;4;4;4;Accept
CDIO06;CDIO06K045;hulk@marvel.com;5;4;5;4;Accept
CDIO06;CDIO06K045;mickey@disney.com;4;4;4;4;Accept
CDIO06;CDIO06K045;super.duck@disney.com;4;3;5;4;Accept
CDIO06;CDIO06K046;hulk@marvel.com;4;4;4;4;Accept
CDIO06;CDIO06K046;mickey@disney.com;4;5;5;5;Accept
CDIO06;CDIO06K046;super.duck@disney.com;5;3;3;2;Reject
CDIO06;CDIO06K047;hulk@marvel.com;4;3;5;4;Accept
CDIO06;CDIO06K047;mickey@disney.com;5;4;5;4;Accept
CDIO06;CDIO06K047;super.duck@disney.com;5;4;5;5;Accept
CDIO06;CDIO06K048;hulk@marvel.com;5;3;3;2;Reject
CDIO06;CDIO06K048;mickey@disney.com;4;4;4;4;Accept
CDIO06;CDIO06K048;super.duck@disney.com;4;5;4;5;Accept
CDIO06;CDIO06K049;hulk@marvel.com;3;4;4;4;Accept
CDIO06;CDIO06K049;mickey@disney.com;4;3;5;4;Accept
CDIO06;CDIO06K049;super.duck@disney.com;3;4;4;4;Accept
CDIO06;CDIO06K050;hulk@marvel.com;3;4;4;4;Accept
CDIO06;CDIO06K050;mickey@disney.com;5;3;3;2;Reject
CDIO06;CDIO06K050;super.duck@disney.com;3;4;4;4;Accept
CDIO06;CDIO06K051;mickey@disney.com;5;4;5;5;Accept
CDIO06;CDIO06K051;super.duck@disney.com;5;5;4;5;Accept
CDIO06;CDIO06K051;wolverine@marvel.com;5;5;4;5;Accept
CDIO06;CDIO06K052;mickey@disney.com;3;4;4;4;Accept
CDIO06;CDIO06K052;super.duck@disney.com;5;5;4;5;Accept
CDIO06;CDIO06K052;wolverine@marvel.com;5;5;4;5;Accept
CDIO06;CDIO06K053;mickey@disney.com;3;4;4;4;Accept
CDIO06;CDIO06K053;super.duck@disney.com;5;5;4;4;Accept
CDIO06;CDIO06K053;wolverine@marvel.com;5;5;4;4;Accept
CDIO06;CDIO06K054;mickey@disney.com;5;5;4;5;Accept
CDIO06;CDIO06K054;super.duck@disney.com;5;5;4;4;Accept
CDIO06;CDIO06K054;wolverine@marvel.com;5;5;4;4;Accept
CDIO06;CDIO06K055;mickey@disney.com;5;5;4;5;Accept
CDIO06;CDIO06K055;super.duck@disney.com;4;4;3;4;Accept
CDIO06;CDIO06K055;wolverine@marvel.com;4;4;3;4;Accept
CDIO06;CDIO06K056;mickey@disney.com;5;5;4;4;Accept
CDIO06;CDIO06K056;super.duck@disney.com;3;4;3;4;Accept
CDIO06;CDIO06K056;wolverine@marvel.com;3;4;3;4;Accept
CDIO06;CDIO06K057;mickey@disney.com;5;5;4;4;Accept
CDIO06;CDIO06K057;super.duck@disney.com;5;4;3;4;Accept
CDIO06;CDIO06K057;wolverine@marvel.com;5;4;3;4;Accept
CDIO06;CDIO06K058;mickey@disney.com;4;4;3;4;Accept
CDIO06;CDIO06K058;super.duck@disney.com;5;4;4;4;Accept
CDIO06;CDIO06K058;wolverine@marvel.com;5;4;4;4;Accept
CDIO06;CDIO06K059;mickey@disney.com;3;4;3;4;Accept
CDIO06;CDIO06K059;super.duck@disney.com;4;4;3;4;Accept
CDIO06;CDIO06K059;wolverine@marvel.com;4;4;3;4;Accept
CDIO06;CDIO06K060;mickey@disney.com;5;4;3;4;Accept
CDIO06;CDIO06K060;super.duck@disney.com;4;4;4;4;Accept
CDIO06;CDIO06K060;wolverine@marvel.com;4;4;4;4;Accept
CDIO06;CDIO06K061;mickey@disney.com;5;4;4;4;Accept
CDIO06;CDIO06K061;super.duck@disney.com;4;5;5;5;Accept
CDIO06;CDIO06K061;wolverine@marvel.com;4;5;5;5;Accept
CDIO06;CDIO06K062;mickey@disney.com;4;4;3;4;Accept
CDIO06;CDIO06K062;super.duck@disney.com;5;4;5;4;Accept
CDIO06;CDIO06K062;wolverine@marvel.com;5;4;5;4;Accept
CDIO06;CDIO06K063;mickey@disney.com;4;4;4;4;Accept
CDIO06;CDIO06K063;super.duck@disney.com;4;4;4;4;Accept
CDIO06;CDIO06K063;wolverine@marvel.com;4;4;4;4;Accept
CDIO06;CDIO06K064;mickey@disney.com;4;5;5;5;Accept
CDIO06;CDIO06K064;super.duck@disney.com;4;3;5;4;Accept
CDIO06;CDIO06K064;wolverine@marvel.com;4;3;5;4;Accept
CDIO06;CDIO06K065;mickey@disney.com;5;4;5;4;Accept
CDIO06;CDIO06K065;super.duck@disney.com;5;3;3;4;Accept
CDIO06;CDIO06K065;wolverine@marvel.com;5;3;3;4;Accept
CDIO06;CDIO06K066;mickey@disney.com;4;4;4;4;Accept
CDIO06;CDIO06K066;super.duck@disney.com;5;4;5;5;Accept
CDIO06;CDIO06K066;wolverine@marvel.com;5;4;5;5;Accept
